placename	latitude	longitude
West Bank	19.38197	-81.39281
Dura	28.8	49.23333
Hebron	31.52935	35.0938
Tulkarem	32.31156	35.0269
Gaza Strip	31.50161	34.46672
Israel	31.5	34.75
Nablus	32.22111	35.25444
Red Sea	52.26682	-113.802
United States	39.76	-98.5
United Kingdom	54.75844	-2.69531
Yemen	15.5	47.5
Iran	32	53
Gaza	31.50161	34.46672
US	49.1	1.96667
Sanaa	15.35472	44.20667
Saudi Arabia	25	45
Aden	12.77944	45.03667
Tel Aviv	32.08088	34.78057
UK	54.75844	-2.69531
Palestine	31.92157	35.20329
Africa	7.1881	21.09375
Marib	15.6213	46.0111
Middle East	33.13906	35.85869
United Arab Emirates	23.75	54.5
Turkey	39	35
Jordan	31	36
Qatar	25.5	51.25
UAE	12.26667	-14.7
Charleston	32.77632	-79.93275
South Carolina	34.00043	-81.00009
Gaza City	31.50161	34.46672
Doha	25.28545	51.53096
Hong Kong	22.27832	114.17469
South Africa	26.5	-81
State of Palestine	30.25	79.25
Lebanon	33.83333	35.83333
Hague	52.51118	-106.41859
Pretoria	-25.74486	28.18783
Uganda	1.25	32.5
China	35	105
Russia	60	100
Kuwait	29.5	47.75
Ukraine	49	32
Canada	60.10867	-113.64258
Montreal	45.50884	-73.58781
Milton Ontario	52.04172	-0.75583
Jabalia	31.5272	34.48347
Ottawa	45.41117	-75.69812
Egypt	27	30
Rafah	31.29722	34.24357
Toronto	43.70643	-79.39864
Calgary	51.05011	-114.08529
Afghanistan	33	66
Austria	47.33333	13.33333
Australia	-25	135
Finland	64	26
Germany	51.5	10.5
Italy	42.83333	12.83333
Japan	35.68536	139.75309
Netherlands	52.25	5.75
Iceland	65	-18
Sweden	62	15
Switzerland	47.00016	8.01427
Romania	46	25
Washington DC	47.50012	-120.50147
Jerusalem	31.76904	35.21633
Gretna	41.14083	-96.23974
Louisiana	31.00047	-92.0004
New Orleans	29.95465	-90.07507
MirandaCleland	NA	NA
East Jerusalem	31.78336	35.23388
Scotland	56	-4
Ireland	53	-8
Norway	62	10
October7	NA	NA
Syria	35	38
Jenin	32.45943	35.30086
Ramallah	31.89964	35.20422
Abwein	32.03144	35.19992
Qalqilya	32.18583	35.06583
Jericho	31.86667	35.45
Bahrain	26.03333	50.55
Denmark	56	10
New Zealand	-42	174
South Korea	36.5	127.75
Spain	40	-4
France	46	2
Belgium	50.75	4.5
Czech Republic	49.75	15
Hungary	47	20
Berlin	52.52437	13.41053
Paris	48.85341	2.3488
Slovenia	46.08333	15
Brussels	50.85045	4.34878
carogennez	NA	NA
Flanders	51	4.5
Wallonia	50.5	4.75
Ein alHilweh	32.62899	34.94483
Basel	47.55839	7.57327
Ofer	32.62257	34.98302
Jordan Valley	42.97404	-117.0543
Area C	-25.55132	-54.61622
Kadri	3.34322	30.99265
alJiftlik	NA	NA
Farsiya	35.95584	42.96643
Makhoul	33.40788	37.3558
Tubas	32.32091	35.36989
Areas A	-16.39889	-71.535
Beirut	33.89332	35.50157
Washington	47.50012	-120.50147
Kerman	30.28321	57.07879
Islamic Republic	32	53
Nur Shams	51.1801	71.44598
Naqoura	33.11806	35.13972
Deir elBalah	35.33588	40.14084
Nuseirat	31.44861	34.3925
DC	38.91706	-77.00025
America	26.0173	-104.41406
Strip	-27.51667	27.05
West	42.77268	-116.9579
London	51.50853	-0.12574
Tel Israel	32.25327	34.87034
Myanmar	21	96
Kuala Lumpur	3.1412	101.68653
Malaysia	2.5	112.5
Indonesia	-5	120
Jakarta	-6.21462	106.84513
Johannesburg	-26.20227	28.04363
Vienna	48.20849	16.37208
Amman	31.95522	35.94503
Manchester	42.99564	-71.45479
India	22	79
Hyderabad	17.38405	78.45636
Colombo Kollupitiya	-76.51667	-144.73333
Farhana	NA	NA
Khan Younis	31.34018	34.30627
Abudaqa	NA	NA
Dahiyeh	NA	NA
Beirut Shatila	33.82093	35.48839
Earth	0	0
Lama Khater	9.55111	1.18611
Kiryat Arba	33.20733	35.57212
Britain	54	-2
Republic of Yemen	24	121
Hodeidah	14.79781	42.95452
Saada	16.94021	43.76393
Taiz	13.57952	44.02091
Hajjah	15.69425	43.60582
Europe	48.69096	9.14062
Asia	29.84064	89.29688
Sudan	16	30
Iraq	33	44
Syria Aleppo	33.26954	35.19626
